GloveManager recording started on 04/12/18 at 13:10:46

,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.020252,3427,3135,3386,3099,3499,3738,3640,3308,3901,3100,3686,3797,3478,3208,,0.125000,0.000000,0.769231,0.000000,0.625000,1.000000,0.076923,0.000000,0.428571,0.750000,0.043478,0.250000,0.222222,0.000000
0.019206,3427,3136,3386,3099,3499,3737,3640,3309,3900,3100,3685,3797,3477,3208,,0.125000,0.026316,0.769231,0.000000,0.625000,0.966667,0.076923,0.083333,0.285714,0.750000,0.000000,0.250000,0.166667,0.000000
0.018948,3427,3136,3385,3100,3498,3733,3639,3309,3900,3100,3686,3797,3477,3209,,0.125000,0.026316,0.692308,0.015873,0.500000,0.833333,0.000000,0.083333,0.285714,0.750000,0.043478,0.250000,0.166667,0.166667
0.018794,3427,3135,3385,3101,3497,3729,3640,3311,3899,3100,3686,3797,3477,3207,,0.125000,0.000000,0.692308,0.031746,0.375000,0.700000,0.076923,0.250000,0.142857,0.750000,0.043478,0.250000,0.166667,0.000000
0.019389,3427,3135,3385,3101,3498,3728,3640,3311,3899,3100,3686,3797,3477,3207,,0.125000,0.000000,0.692308,0.031746,0.500000,0.666667,0.076923,0.250000,0.142857,0.750000,0.043478,0.250000,0.166667,0.000000
0.018714,3427,3135,3385,3101,3498,3728,3640,3312,3899,3100,3685,3797,3477,3208,,0.125000,0.000000,0.692308,0.031746,0.500000,0.666667,0.076923,0.333333,0.142857,0.750000,0.000000,0.250000,0.166667,0.142857
0.018074,3427,3135,3385,3101,3497,3727,3639,3313,3900,3100,3686,3797,3477,3207,,0.125000,0.000000,0.692308,0.031746,0.375000,0.633333,0.000000,0.416667,0.285714,0.750000,0.043478,0.250000,0.166667,0.000000
0.019336,3427,3135,3385,3102,3497,3726,3639,3312,3900,3100,3686,3797,3477,3207,,0.125000,0.000000,0.692308,0.047619,0.375000,0.600000,0.000000,0.333333,0.285714,0.750000,0.043478,0.250000,0.166667,0.000000
0.019032,3427,3135,3385,3102,3497,3726,3639,3313,3900,3100,3686,3797,3477,3207,,0.125000,0.000000,0.692308,0.047619,0.375000,0.600000,0.000000,0.416667,0.285714,0.750000,0.043478,0.250000,0.166667,0.000000
0.020067,3427,3135,3385,3102,3497,3725,3639,3313,3900,3100,3686,3797,3477,3207,,0.125000,0.000000,0.692308,0.047619,0.375000,0.566667,0.000000,0.416667,0.285714,0.750000,0.043478,0.250000,0.166667,0.000000
0.017979,3427,3135,3386,3102,3497,3725,3640,3313,3900,3101,3686,3797,3477,3207,,0.125000,0.000000,0.769231,0.047619,0.375000,0.566667,0.076923,0.416667,0.285714,1.000000,0.043478,0.250000,0.166667,0.000000
0.020100,3427,3135,3385,3102,3497,3724,3640,3313,3900,3100,3686,3797,3478,3206,,0.125000,0.000000,0.692308,0.047619,0.375000,0.533333,0.076923,0.416667,0.285714,0.750000,0.043478,0.250000,0.222222,0.000000
0.019041,3427,3135,3385,3102,3497,3724,3640,3314,3900,3099,3686,3797,3477,3207,,0.125000,0.000000,0.692308,0.047619,0.375000,0.533333,0.076923,0.500000,0.285714,0.500000,0.043478,0.250000,0.166667,0.125000
0.019036,3427,3135,3386,3102,3498,3723,3639,3316,3900,3100,3686,3796,3477,3206,,0.125000,0.000000,0.769231,0.047619,0.500000,0.500000,0.000000,0.666667,0.285714,0.750000,0.043478,0.000000,0.166667,0.000000
0.020083,3427,3135,3385,3102,3497,3722,3639,3318,3900,3100,3686,3797,3478,3207,,0.125000,0.000000,0.692308,0.047619,0.375000,0.466667,0.000000,0.833333,0.285714,0.750000,0.043478,0.250000,0.222222,0.125000
0.019256,3427,3134,3384,3102,3497,3722,3639,3321,3901,3100,3686,3797,3477,3207,,0.125000,0.000000,0.615385,0.047619,0.375000,0.466667,0.000000,1.000000,0.428571,0.750000,0.043478,0.250000,0.166667,0.125000
0.018930,3427,3134,3384,3102,3497,3726,3640,3330,3901,3100,3686,3797,3478,3206,,0.125000,0.000000,0.615385,0.047619,0.375000,0.600000,0.076923,1.000000,0.428571,0.750000,0.043478,0.250000,0.222222,0.000000
0.018955,3426,3135,3384,3103,3497,3725,3640,3333,3901,3100,3686,3797,3477,3207,,0.000000,0.025641,0.615385,0.063492,0.375000,0.566667,0.076923,1.000000,0.428571,0.750000,0.043478,0.250000,0.166667,0.125000
0.019025,3426,3135,3384,3103,3497,3723,3639,3336,3901,3100,3686,3796,3477,3208,,0.000000,0.025641,0.615385,0.063492,0.375000,0.500000,0.000000,1.000000,0.428571,0.750000,0.043478,0.000000,0.166667,0.250000
0.018405,3426,3135,3384,3103,3497,3722,3639,3338,3901,3100,3686,3797,3477,3208,,0.000000,0.025641,0.615385,0.063492,0.375000,0.466667,0.000000,1.000000,0.428571,0.750000,0.043478,0.250000,0.166667,0.250000
0.020078,3426,3135,3384,3103,3497,3721,3640,3339,3901,3100,3686,3797,3477,3207,,0.000000,0.025641,0.615385,0.063492,0.375000,0.433333,0.076923,1.000000,0.428571,0.750000,0.043478,0.250000,0.166667,0.125000
0.020056,3426,3134,3385,3103,3497,3720,3640,3336,3901,3101,3686,3796,3478,3207,,0.000000,0.000000,0.692308,0.063492,0.375000,0.400000,0.076923,0.903226,0.428571,1.000000,0.043478,0.000000,0.222222,0.125000
0.018746,3426,3134,3385,3103,3497,3720,3640,3334,3901,3101,3686,3797,3478,3207,,0.000000,0.000000,0.692308,0.063492,0.375000,0.400000,0.076923,0.838710,0.428571,1.000000,0.043478,0.250000,0.222222,0.125000
0.019665,3425,3134,3386,3102,3497,3717,3640,3330,3901,3101,3686,3796,3477,3207,,0.000000,0.000000,0.769231,0.047619,0.375000,0.300000,0.076923,0.709677,0.428571,1.000000,0.043478,0.000000,0.166667,0.125000
0.018284,3426,3135,3386,3102,3497,3712,3640,3329,3900,3101,3685,3796,3477,3207,,0.111111,0.025641,0.769231,0.047619,0.375000,0.133333,0.076923,0.677419,0.285714,1.000000,0.000000,0.000000,0.166667,0.125000
0.019247,3426,3135,3386,3101,3497,3711,3640,3328,3899,3101,3685,3796,3477,3207,,0.111111,0.025641,0.769231,0.031746,0.375000,0.100000,0.076923,0.645161,0.142857,1.000000,0.000000,0.000000,0.166667,0.125000
0.019063,3426,3135,3387,3100,3497,3708,3640,3326,3898,3101,3685,3796,3477,3207,,0.111111,0.025641,0.846154,0.015873,0.375000,0.000000,0.076923,0.580645,0.000000,1.000000,0.000000,0.000000,0.166667,0.125000
0.019589,3426,3135,3387,3100,3497,3702,3641,3324,3898,3101,3685,3797,3477,3207,,0.111111,0.025641,0.846154,0.015873,0.375000,0.000000,0.153846,0.516129,0.000000,1.000000,0.000000,0.250000,0.166667,0.125000
0.018971,3425,3135,3388,3100,3496,3700,3640,3321,3896,3100,3685,3796,3478,3207,,0.000000,0.025641,0.923077,0.015873,0.250000,0.000000,0.076923,0.419355,0.000000,0.750000,0.000000,0.000000,0.222222,0.125000
0.019176,3426,3135,3387,3100,3496,3700,3640,3318,3896,3100,3685,3797,3477,3207,,0.111111,0.025641,0.846154,0.015873,0.250000,0.025641,0.076923,0.322581,0.000000,0.750000,0.000000,0.250000,0.166667,0.125000
0.018747,3425,3134,3387,3100,3496,3700,3640,3317,3896,3099,3685,3797,3477,3207,,0.000000,0.000000,0.846154,0.015873,0.250000,0.025641,0.076923,0.290323,0.000000,0.500000,0.000000,0.250000,0.166667,0.125000
0.020241,3425,3134,3388,3100,3497,3701,3640,3316,3896,3099,3684,3797,3477,3207,,0.000000,0.000000,0.923077,0.015873,0.375000,0.051282,0.076923,0.258065,0.000000,0.500000,0.000000,0.250000,0.166667,0.125000
0.017197,3425,3134,3387,3100,3497,3700,3640,3315,3895,3099,3684,3797,3477,3208,,0.000000,0.000000,0.846154,0.015873,0.375000,0.025641,0.076923,0.225806,0.000000,0.500000,0.000000,0.250000,0.166667,0.250000
0.018670,3425,3134,3387,3100,3496,3699,3640,3315,3895,3099,3685,3797,3478,3207,,0.000000,0.000000,0.846154,0.015873,0.250000,0.000000,0.076923,0.225806,0.000000,0.500000,0.041667,0.250000,0.222222,0.125000
0.019120,3426,3135,3387,3100,3496,3697,3640,3314,3894,3099,3685,3797,3477,3208,,0.111111,0.025641,0.846154,0.015873,0.250000,0.000000,0.076923,0.193548,0.000000,0.500000,0.041667,0.250000,0.166667,0.250000
0.020024,3426,3134,3387,3100,3496,3697,3640,3315,3894,3099,3686,3797,3477,3208,,0.111111,0.000000,0.846154,0.015873,0.250000,0.000000,0.076923,0.225806,0.000000,0.500000,0.083333,0.250000,0.166667,0.250000
0.019033,3425,3134,3387,3100,3496,3697,3640,3314,3894,3099,3686,3797,3477,3207,,0.000000,0.000000,0.846154,0.015873,0.250000,0.000000,0.076923,0.193548,0.000000,0.500000,0.083333,0.250000,0.166667,0.125000
0.019027,3426,3134,3387,3100,3496,3698,3640,3315,3894,3099,3687,3797,3477,3207,,0.111111,0.000000,0.846154,0.015873,0.250000,0.024390,0.076923,0.225806,0.000000,0.500000,0.125000,0.250000,0.166667,0.125000
0.020101,3425,3134,3387,3100,3496,3699,3640,3315,3893,3098,3689,3798,3477,3208,,0.000000,0.000000,0.846154,0.015873,0.250000,0.048780,0.076923,0.225806,0.000000,0.250000,0.208333,0.500000,0.166667,0.250000
0.019029,3426,3134,3387,3100,3496,3701,3640,3316,3894,3099,3690,3798,3477,3208,,0.111111,0.000000,0.846154,0.015873,0.250000,0.097561,0.076923,0.258065,0.083333,0.500000,0.250000,0.500000,0.166667,0.250000
0.019436,3425,3134,3387,3100,3496,3699,3640,3315,3894,3098,3691,3797,3477,3208,,0.000000,0.000000,0.846154,0.015873,0.250000,0.048780,0.076923,0.225806,0.083333,0.250000,0.291667,0.250000,0.166667,0.250000
0.019657,3425,3134,3387,3101,3496,3699,3639,3316,3895,3098,3692,3797,3477,3208,,0.000000,0.000000,0.846154,0.031746,0.250000,0.048780,0.000000,0.258065,0.166667,0.250000,0.333333,0.250000,0.166667,0.250000
0.020021,3425,3134,3387,3100,3497,3699,3639,3315,3895,3099,3693,3797,3477,3208,,0.000000,0.000000,0.846154,0.015873,0.375000,0.048780,0.000000,0.225806,0.166667,0.500000,0.375000,0.250000,0.166667,0.250000
0.020099,3425,3134,3388,3100,3496,3699,3640,3315,3896,3100,3693,3797,3477,3208,,0.000000,0.000000,0.923077,0.015873,0.250000,0.048780,0.076923,0.225806,0.250000,0.750000,0.375000,0.250000,0.166667,0.250000
0.019416,3425,3134,3388,3100,3496,3697,3640,3316,3896,3098,3693,3796,3477,3208,,0.000000,0.000000,0.923077,0.015873,0.250000,0.000000,0.076923,0.258065,0.250000,0.250000,0.375000,0.000000,0.166667,0.250000
0.019013,3425,3134,3389,3100,3496,3694,3640,3315,3897,3098,3693,3796,3477,3208,,0.000000,0.000000,1.000000,0.015873,0.250000,0.000000,0.076923,0.225806,0.333333,0.250000,0.375000,0.000000,0.166667,0.250000
0.019091,3425,3134,3389,3100,3496,3687,3640,3317,3897,3098,3693,3796,3477,3207,,0.000000,0.000000,1.000000,0.015873,0.250000,0.000000,0.076923,0.290323,0.333333,0.250000,0.375000,0.000000,0.166667,0.125000
0.018390,3425,3134,3389,3100,3495,3684,3640,3317,3897,3098,3694,3796,3477,3207,,0.000000,0.000000,1.000000,0.015873,0.125000,0.000000,0.076923,0.290323,0.333333,0.250000,0.416667,0.000000,0.166667,0.125000
0.019689,3425,3134,3389,3100,3495,3682,3640,3315,3897,3098,3694,3795,3477,3207,,0.000000,0.000000,1.000000,0.015873,0.125000,0.000000,0.076923,0.225806,0.333333,0.250000,0.416667,0.000000,0.166667,0.125000
0.019036,3425,3134,3389,3100,3495,3682,3640,3315,3898,3098,3695,3794,3477,3206,,0.000000,0.000000,1.000000,0.015873,0.125000,0.000000,0.076923,0.225806,0.416667,0.250000,0.458333,0.000000,0.166667,0.000000
0.020087,3425,3134,3390,3099,3495,3679,3640,3314,3898,3098,3694,3794,3478,3207,,0.000000,0.000000,1.000000,0.000000,0.125000,0.000000,0.076923,0.193548,0.416667,0.250000,0.416667,0.000000,0.222222,0.125000
0.019081,3425,3134,3390,3100,3494,3675,3640,3312,3898,3098,3693,3793,3477,3207,,0.000000,0.000000,1.000000,0.015873,0.000000,0.000000,0.076923,0.129032,0.416667,0.250000,0.375000,0.000000,0.166667,0.125000
0.019024,3425,3134,3391,3100,3494,3672,3640,3311,3898,3098,3693,3793,3478,3207,,0.000000,0.000000,1.000000,0.015873,0.000000,0.000000,0.076923,0.096774,0.416667,0.250000,0.375000,0.000000,0.222222,0.125000
0.019725,3425,3133,3391,3100,3495,3673,3640,3310,3898,3099,3692,3795,3479,3208,,0.000000,0.000000,1.000000,0.015873,0.125000,0.015152,0.076923,0.064516,0.416667,0.500000,0.333333,0.285714,0.277778,0.250000
0.018043,3425,3134,3392,3101,3495,3672,3640,3308,3898,3099,3691,3795,3480,3206,,0.000000,0.025000,1.000000,0.031746,0.125000,0.000000,0.076923,0.000000,0.416667,0.500000,0.291667,0.285714,0.333333,0.000000
0.020089,3425,3134,3392,3100,3495,3673,3640,3306,3897,3099,3691,3795,3481,3209,,0.000000,0.025000,1.000000,0.015873,0.125000,0.015152,0.076923,0.000000,0.333333,0.500000,0.291667,0.285714,0.388889,0.375000
0.019902,3424,3134,3392,3101,3495,3673,3640,3307,3897,3100,3691,3795,3482,3209,,0.000000,0.025000,1.000000,0.031746,0.125000,0.015152,0.076923,0.030303,0.333333,0.750000,0.291667,0.285714,0.444444,0.375000
0.019213,3424,3134,3392,3101,3495,3673,3640,3306,3896,3100,3690,3795,3482,3208,,0.000000,0.025000,1.000000,0.031746,0.125000,0.015152,0.076923,0.000000,0.250000,0.750000,0.250000,0.285714,0.444444,0.250000
0.018655,3423,3134,3393,3101,3495,3674,3639,3305,3896,3100,3690,3795,3482,3208,,0.000000,0.025000,0.944444,0.031746,0.125000,0.030303,0.000000,0.000000,0.250000,0.750000,0.250000,0.285714,0.444444,0.250000
0.019100,3424,3134,3394,3101,3495,3674,3639,3305,3895,3100,3690,3795,3482,3208,,0.090909,0.025000,1.000000,0.031746,0.125000,0.030303,0.000000,0.000000,0.166667,0.750000,0.250000,0.285714,0.444444,0.250000
0.020015,3424,3134,3394,3101,3495,3673,3639,3305,3895,3101,3690,3794,3483,3208,,0.090909,0.025000,1.000000,0.031746,0.125000,0.015152,0.000000,0.000000,0.166667,1.000000,0.250000,0.142857,0.500000,0.250000
0.020087,3424,3134,3394,3101,3495,3673,3639,3305,3895,3100,3689,3794,3482,3207,,0.090909,0.025000,1.000000,0.031746,0.125000,0.015152,0.000000,0.000000,0.166667,0.750000,0.208333,0.142857,0.444444,0.125000
0.019550,3424,3134,3394,3101,3495,3673,3639,3306,3895,3099,3688,3793,3481,3205,,0.090909,0.025000,1.000000,0.031746,0.125000,0.015152,0.000000,0.029412,0.166667,0.500000,0.166667,0.000000,0.388889,0.000000
0.019036,3424,3134,3394,3102,3495,3673,3639,3306,3895,3099,3688,3793,3480,3204,,0.090909,0.025000,1.000000,0.047619,0.125000,0.015152,0.000000,0.029412,0.166667,0.500000,0.166667,0.000000,0.333333,0.000000
0.019110,3423,3134,3394,3102,3495,3673,3639,3306,3894,3098,3687,3794,3479,3207,,0.000000,0.025000,1.000000,0.047619,0.125000,0.015152,0.000000,0.029412,0.083333,0.250000,0.125000,0.142857,0.277778,0.300000
0.018325,3423,3134,3393,3102,3495,3674,3639,3307,3895,3098,3688,3792,3478,3206,,0.000000,0.025000,0.944444,0.047619,0.125000,0.030303,0.000000,0.058824,0.166667,0.250000,0.166667,0.000000,0.222222,0.200000
0.018307,3424,3134,3393,3103,3495,3673,3639,3307,3895,3098,3688,3793,3478,3206,,0.090909,0.025000,0.944444,0.063492,0.125000,0.015152,0.000000,0.058824,0.166667,0.250000,0.166667,0.125000,0.222222,0.200000
