Time,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
36:47.5,0.066667,0.2,0.956522,0.575,0.234848,0.610169,0.428571,0.244444,0.833333,0.461538,0.245455,0.107143,0.5,0.5
36:47.5,0.066667,0.2,0.956522,0.575,0.234848,0.610169,0.428571,0.233333,0.833333,0.461538,0.236364,0.107143,0.5,0.454545
36:47.5,0.066667,0.2,0.956522,0.55,0.234848,0.627119,0.428571,0.233333,0.824561,0.461538,0.227273,0.107143,0.5,0.454545
36:47.5,0.066667,0.4,0.956522,0.575,0.234848,0.627119,0.428571,0.233333,0.824561,0.423077,0.227273,0.142857,0.5,0.454545
36:47.5,0.066667,0.4,0.913043,0.55,0.242424,0.610169,0.428571,0.244444,0.807018,0.461538,0.218182,0.107143,0.5,0.409091
36:47.5,0.066667,0.4,0.913043,0.55,0.242424,0.610169,0.428571,0.244444,0.798246,0.461538,0.2,0.142857,0.461538,0.409091
36:47.5,0.066667,0.4,0.913043,0.55,0.234848,0.610169,0.428571,0.244444,0.798246,0.461538,0.209091,0.142857,0.423077,0.409091
36:47.5,0.133333,0.4,0.913043,0.575,0.234848,0.610169,0.428571,0.244444,0.789474,0.461538,0.209091,0.142857,0.384615,0.409091
36:47.5,0.133333,0.4,0.869565,0.575,0.242424,0.610169,0.428571,0.244444,0.789474,0.5,0.209091,0.142857,0.384615,0.363636
36:47.5,0.133333,0.4,0.826087,0.575,0.242424,0.627119,0.5,0.244444,0.789474,0.5,0.190909,0.178571,0.384615,0.363636
36:47.5,0.133333,0.4,0.826087,0.575,0.242424,0.627119,0.5,0.233333,0.798246,0.5,0.181818,0.178571,0.346154,0.363636
36:47.5,0.133333,0.4,0.782609,0.575,0.242424,0.627119,0.428571,0.233333,0.798246,0.461538,0.181818,0.178571,0.384615,0.363636
36:47.5,0.133333,0.4,0.782609,0.575,0.242424,0.627119,0.428571,0.222222,0.789474,0.461538,0.181818,0.178571,0.346154,0.363636
36:47.5,0.133333,0.4,0.782609,0.575,0.242424,0.627119,0.428571,0.211111,0.798246,0.461538,0.172727,0.178571,0.384615,0.409091
36:47.5,0.133333,0.4,0.782609,0.575,0.242424,0.644068,0.428571,0.211111,0.798246,0.5,0.172727,0.178571,0.384615,0.409091
